Pairs,Means,Scale
boring - exciting ,1.139,Hedonic Quality
not interesting - interesting ,1.043,Hedonic Quality
usual - leading edge ,0.932,Hedonic Quality
inventive - conventional,1.158,Hedonic Quality
obstructive - supportive ,1.067,Pragmatic Quality
complicated - easy ,0.875,Pragmatic Quality
inefficient - efficient ,1.009,Pragmatic Quality
clear - confusing ,1.23,Pragmatic Quality
